Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
Beneficios de operaciones descontinuadas;;;4674000;2823000;411000;;;;;;;;;;
Beneficio neto total;101245000;105063000;101520000;106452000;120035000;125011000;122019000;123711000;105577000;122513000;132997000;139430000;140962000;157333000;158470000
Beneficio intereses minoritarios;;;;;-13000;73000;82000;122000;;;;;;-314000;1447000
Beneficio neto;101245000;105063000;101520000;106452000;120022000;125084000;122101000;123833000;105577000;122513000;132997000;139430000;140962000;157019000;159917000
Beneficio neto comunes incl. ítems extra;101245000;105063000;101520000;106452000;120022000;125084000;122101000;123833000;105577000;122513000;132997000;139430000;140962000;157019000;159917000
Beneficio neto comunes excl. ítems extra;101245000;105063000;96846000;103629000;119611000;125084000;122101000;123833000;105577000;122513000;132997000;139430000;140962000;157019000;159917000
EBITDAR;;;;188869000;213155000;202324000;206359000;;;233112000;246567000;267643000;270973000;287378000;291406000
EBITDA;158353000;181166000;168996000;184663000;209181000;197661000;199707000;189183000;190207000;229929000;242766000;262006000;262964000;279276000;283071000
EBITA;119081000;139468000;127410000;139217000;160077000;151244000;146813000;130546000;128136000;167290000;179953000;193929000;189336000;205912000;209115000
EBIT;118192000;138525000;123854000;135500000;156132000;147962000;143325000;126745000;124049000;163169000;175608000;189147000;184544000;201325000;203378000
Beneficio neto;101245000;105063000;101520000;106452000;120022000;125084000;122101000;123833000;105577000;122513000;132997000;139430000;140962000;157019000;159917000
D&A total;40161000;42641000;45142000;49163000;53049000;49699000;56382000;62438000;70674000;71526000;72281000;78148000;83713000;83794000;85196000
Amortización de intangibles;889000;943000;3556000;3717000;3945000;3282000;3488000;3801000;4087000;4121000;4345000;4782000;4792000;4587000;5737000
Depreciación y amortización;39272000;41698000;41586000;45446000;49104000;46417000;52894000;58637000;66587000;67405000;67936000;73366000;78921000;79207000;79459000
Amortización de cargos diferidos;1889000;2369000;;;;;;;;;;;;;
Otros elementos no monetarios;-2543000;-2394000;-15163000;-2743000;-940000;-7102000;583000;-12826000;-4455000;9480000;-2272000;9254000;11681000;3557000;189000
Venta de activos;41000;167000;260000;323000;122000;116000;-711000;;;;;;;;
Costes de reestructuración;-57000;223000;-102000;45000;;;;;3520000;;;;;;
Retribución en acciones;;;;;;;;;;1485000;1165000;1581000;2346000;2001000;6775000
Otras actividades operativas;-2527000;-2784000;-15321000;-3111000;-1062000;-7218000;1294000;-12826000;-7975000;7995000;-3437000;7673000;9335000;1556000;-6586000
Variación activos operativos;-28514000;-43467000;-7760000;-34557000;-34433000;-27162000;-21778000;-48180000;6135000;-25178000;18294000;-106103000;-90646000;-8548000;-49933000
Var. cuentas por cobrar;-8069000;-22674000;57000;-28002000;-20286000;-11665000;-10004000;-9354000;-6919000;-15602000;-7660000;-47708000;-5314000;-41828000;-24319000
Variación inventario;-18193000;-25545000;-16346000;-18843000;-19955000;-7443000;-20178000;-35239000;15023000;-20965000;-17593000;-69069000;-66607000;35919000;-709000
Var. cuentas por pagar;-2252000;4752000;8529000;12288000;5808000;-8054000;8404000;-3587000;-1969000;11389000;43547000;10674000;-18725000;-2639000;-24905000
Flujo operativo;112238000;104212000;123739000;118315000;137698000;140519000;157288000;125265000;177931000;178341000;221300000;120729000;145710000;235822000;195369000
Gastos de capital (Capex);-65994000;-69238000;-92942000;-60074000;-56702000;-80747000;-111561000;-71949000;-62755000;-55320000;-95779000;-115566000;-77126000;-75027000;-80447000
Venta de activos tangibles;644000;274000;867000;505000;1103000;678000;1619000;583000;766000;605000;474000;423000;1158000;625000;81000
Adquisiciones;886000;;;;-3995000;1110000;-8792000;-7128000;-1544000;;;;;-7213000;-8948000
Otras actividades de inversión;-6976000;10674000;-4215000;3680000;56497000;796000;696000;723000;891000;1139000;628000;1194000;846000;2535000;1944000
Inv. en valores negociables;-6976000;9983000;-4431000;3900000;;;;;;;;;;;
Otras act. de inversión;;691000;216000;-220000;56497000;796000;696000;723000;891000;1139000;628000;1194000;846000;2535000;1944000
Flujo de inversión;-71440000;-58290000;-96290000;-55889000;-3097000;-78163000;-118038000;-77771000;-62642000;-53576000;-94677000;-113949000;-75122000;-79080000;-87370000
Flujo neto de deuda;-41785000;35560000;-5803000;5963000;-59309000;3675000;15995000;41631000;-8075000;-3916000;-1692000;55151000;36627000;13635000;63352000
Deuda total emitida;10905000;94805000;76154000;59247000;8037000;29036000;28211000;50538000;58280000;35345000;59250000;108636000;156365000;172476000;218477000
Deuda total pagada;-52690000;-59245000;-81957000;-53284000;-67346000;-25361000;-12216000;-8907000;-66355000;-39261000;-60942000;-53485000;-119738000;-158841000;-155125000
Flujo neto de acciones;-13515000;0;0;0;0;0;0;-5289000;-6487000;0;-4906000;-12231000;-6264000;-90716000;-93984000
Recompra de acciones comunes;-13515000;;;;;;;-5289000;-6487000;;-4906000;-12231000;-6264000;-90716000;-93984000
Dividendos totales;-26284000;-48188000;-51450000;-53781000;-57975000;-64779000;-69439000;-78694000;-74302000;-109411000;-78328000;-84517000;-89508000;-60063000;-51144000
Dividendos comunes;-26284000;-48188000;-51450000;-53781000;-57975000;-64779000;-69439000;-72594000;-74302000;-109411000;-78328000;-84517000;-89508000;-60063000;-51144000
Dividendos especiales;;;;;;;;-6100000;;;;;;;
Otras act. de financiación;-1715000;-3153000;-1314000;-3426000;-1412000;-1096000;-1655000;-8282000;-6461000;-6633000;-6010000;-6858000;-11571000;-15569000;-14384000
Flujo de financiación;-83299000;-15781000;-58567000;-51244000;-118696000;-62200000;-55099000;-44534000;-95325000;-119960000;-90936000;-48455000;-70716000;-152713000;-96160000
Ajustes por tipo de cambio;-52000;-26000;2994000;-2320000;2947000;445000;-1062000;-53000;356000;-4185000;3675000;1516000;931000;-882000;-4192000
Variación neta de efectivo;-42553000;30115000;-28124000;8862000;18852000;601000;-16911000;2907000;20320000;620000;39362000;-40159000;803000;3147000;7647000
Efectivo y equiv. - Fin período;14748000;44863000;16739000;25601000;44453000;45054000;28143000;31050000;51370000;51990000;91352000;51193000;51996000;55143000;62790000
Var. capital circulante;19337000;40378000;2052000;53733000;-36348000;34751000;2343000;49486000;-3675000;-13761000;-5513000;134142000;71987000;-17085000;42177000
FCF apalancado;28620875;19841500;26166750;17804125;128462500;25908500;31161750;19153000;88179625;132713250;92361250;-52720250;48366000;147596125;90770750
FCF no apalancado;30589000;21972125;27556750;20043500;130277500;26677250;32056125;20218625;89124625;133432625;92935000;-51762125;52286000;153681125;96458250
FCF simple;46244000;34974000;30797000;58241000;80996000;59772000;45727000;53316000;115176000;123021000;125521000;5163000;68584000;160795000;114922000
Ingresos propios;112238000;104212000;123739000;118315000;137698000;140519000;157288000;125265000;177931000;178341000;221300000;120729000;145710000;235822000;195369000
Nº Acciones básicas;46603682;46603682;46603682;46603682;46603682;46603682;46603682;46592686;46458230;46358856;46367151;46186656;46184195;45548368;45656226
Nº Acciones diluidas;46603682;46603682;46603682;46603682;46603682;46603682;46603682;46592686;46458230;46500000;46500000;46421656;46340895;45663511;45656226
BPA básico;2.172.467;2.254.392;2.178.368;2.284.197;2.575.375;2.683.993;2.619.986;2.657.777;2.272.514;2.642.709;2.868.345;3.018.837;3.052.169;3.447.302;3.502.632
BPA diluido;2.172.467;2.254.392;2.178.368;2.284.197;2.575.375;2.683.993;2.619.986;2.657.777;2.269.999;2.63;2.86;3;3.04;3.44;3.502.632
