Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;30/09/2011;30/09/2012;30/09/2013;30/09/2014;30/09/2015;30/09/2016;30/09/2017;30/09/2018;30/09/2019;30/09/2020;30/09/2021;30/09/2022;30/09/2023;30/09/2024;30/09/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Ventas totales;83491000;95220000;112208000;121432000;135449000;134860000;144896000;165748000;181059000;132327000;195258000;267620000;293790000;295604000;279434000
Coste de ventas;-10427000;-12644000;-14152000;-18145000;-22233000;-22634000;-22812000;-25093000;-27917000;-21724000;-32818000;-39763000;-43926000;-40985000;-36637000
Coste de los bienes vendidos;-10427000;-12644000;-14152000;-18145000;-22233000;-22634000;-22812000;-25093000;-27917000;-21724000;-32818000;-39763000;-43926000;-40985000;-36637000
Beneficio bruto;73064000;82576000;98056000;103287000;113216000;112226000;122084000;140655000;153142000;110603000;162440000;227857000;249864000;254619000;242797000
Gastos operativos totales;-54170000;-62990000;-75407000;-78143000;-86459000;-85772000;-91633000;-103909000;-115650000;-97309000;-110533000;-155662000;-182424000;-199244000;-212530000
Gastos en VG&A;-37716000;-42952000;-51610000;-71827000;-79414000;-78444000;-84713000;-96187000;-106578000;-88473000;-102295000;-143271000;-167273000;-183849000;-191504000
Retribución en acciones;-8000;-315000;-847000;;;;;;;;;;;;
Gastos en D&A;-3904000;-4965000;-5337000;-6316000;-7045000;-7328000;-6920000;-7722000;-9072000;-8836000;-8238000;-12391000;-15151000;-15395000;-15078000
Otros gastos operativos;-12542000;-14758000;-17613000;;;;;;;;;;;;-5948000
Beneficio operativo;18894000;19586000;22649000;25144000;26757000;26454000;30451000;36746000;37492000;13294000;51907000;72195000;67440000;55375000;30267000
Gastos no operativos totales;-4042000;-4177000;-7067000;-7604000;-6725000;-7851000;-8498000;-9720000;-10512000;-9551000;-4409000;-11328000;-15538000;-16197000;-15787000
Gastos por intereses;-4289000;-4313000;-7077000;-7752000;-6969000;-7982000;-8764000;-9954000;-10209000;-9811000;-9992000;-11950000;-15926000;-16679000;-16352000
Ingresos por int. e inversiones;118000;19000;10000;148000;15000;131000;266000;234000;309000;324000;253000;411000;388000;482000;565000
Otros ingresos y gastos no operativos;129000;117000;;;229000;;;;-612000;-64000;5330000;211000;;;
EBT excluyendo ítems inusuales;14852000;15409000;15582000;17540000;20032000;18603000;21953000;27026000;26980000;3743000;47498000;60867000;51902000;39178000;14480000
Ítems inusuales totales;803000;-3327000;-766000;-627000;-6030000;-5761000;-7312000;-9184000;-2791000;-10548000;-13359000;-736000;-15956000;-36570000;968000
Cargos de fusión y reestructuración;-100000;-462000;-41000;;;;;;-171000;;-173000;-269000;-327000;;
Det. de fondo de comercio;;;;-613000;;;-4697000;-834000;-1638000;-7944000;-6307000;-566000;-4239000;;
Beneficios o pérdidas por venta de inversiones;;;;;;;-1156000;;;-64000;-84000;;;;
Beneficios o pérdidas por venta de activos;;-332000;-18000;-279000;-808000;-388000;542000;-1965000;2877000;661000;522000;2375000;682000;;
Reducción de valor de activos;;;;-1681000;-1705000;-3492000;-1786000;-3186000;-4402000;-2607000;-7221000;-1322000;-8390000;-36570000;
Acuerdos de seguros;;;;;;;;20000;768000;;1253000;463000;77000;;
Acuerdos legales;;-2533000;-707000;-3696000;-11684000;-1881000;-215000;-1669000;-225000;-174000;-1349000;-1417000;-3759000;;
Otros ítems inusuales;903000;;;5642000;8167000;;;-1550000;;-420000;;;;;968000
EBT incluyendo ítems inusuales;15655000;12082000;14816000;16913000;14002000;12842000;14641000;17842000;24189000;-6805000;34139000;60131000;35946000;2608000;15448000
Gastos por impuestos;-5403000;-4292000;-5414000;-5916000;-5111000;-2373000;-6359000;3118000;-3744000;493000;-3989000;-14071000;-6846000;410000;-4609000
Beneficios de operaciones continuas;10252000;7790000;9402000;10997000;8891000;10469000;8282000;20960000;20445000;-6312000;30150000;46060000;29100000;3018000;10839000
Beneficios de operaciones descontinuadas;-2195000;;;;;;;;;;;;;;
Beneficio neto total;8057000;7790000;9402000;10997000;8891000;10469000;8282000;20960000;20445000;-6312000;30150000;46060000;29100000;3018000;10839000
Beneficio intereses minoritarios;-211000;-212000;-211000;243000;323000;749000;-23000;-81000;-151000;227000;186000;-19000;146000;-7000;-28000
Beneficio neto;7846000;7578000;9191000;11240000;9214000;11218000;8259000;20879000;20294000;-6085000;30336000;46041000;29246000;3011000;10811000
Beneficio neto comunes incl. ítems extra;7846000;7578000;9191000;11240000;9214000;11218000;8259000;20879000;20294000;-6085000;30336000;46041000;29246000;3011000;10811000
Beneficio neto comunes excl. ítems extra;10041000;7578000;9191000;11240000;9214000;11218000;8259000;20879000;20294000;-6085000;30336000;46041000;29246000;3011000;10811000
