Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;30/06/2011;30/06/2012;30/06/2013;30/06/2014;30/06/2015;30/06/2016;30/06/2017;30/06/2018;30/06/2019;30/06/2020;30/06/2021;30/06/2022;30/06/2023;30/06/2024;30/06/2025
Divisa;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD
Otros pasivos, Total;316469;506039;605500;283655;239000;319000;367000;464000;618000;2640000;2079000;7251000;8916000;6409000;7445000
Impuestos diferidos (LP);248355;402331;471643;119705;37000;48000;66000;72000;77000;344000;1452000;5066000;8341000;5877000;6775000
Pensión y otros beneficios;;;;;;271000;277000;368000;517000;668000;605000;525000;553000;532000;221000
Otros pasivos;68114;103708;133857;163950;202000;;24000;24000;24000;1628000;22000;1660000;22000;;449000
Pasivos no circulantes;1386149;756039;605500;283655;239000;319000;367000;464000;618000;7035000;5199000;9432000;11407000;7529000;21069000
Pasivos totales;9446567;11640089;14225161;12478430;13632000;13536000;13853000;15713000;24284000;30609000;28447000;38235000;56269000;54679000;58112000
Patrimonio ordinario, Total;10081974;18083709;20509225;22124551;21681000;24696000;42900000;47211000;77378000;78919000;85326000;92983000;99989000;115158000;121698000
Acciones ordinarias;27113586;28876572;29544572;29759572;29970000;29827000;45492000;55917000;79302000;80089000;80177000;81390000;79807000;79231000;71386000
Beneficio no distribuido;-17398827;-11269145;-9796328;-6016186;-6675000;-3549000;-1654000;-8035000;-2296000;-1372000;3730000;9610000;13779000;27552000;35407000
Resultado global y otros;367215;476282;760981;-1618835;-1614000;-1582000;-938000;-671000;372000;202000;1419000;1983000;6403000;8375000;14905000
Patrimonio neto;10081974;18083709;20509225;22124551;21681000;24696000;42900000;47211000;77378000;78919000;85326000;92983000;99989000;115158000;121698000
Total pasivos y patrimonio neto;19528541;29723798;34734386;34602981;35313000;38232000;56753000;62924000;101662000;109528000;113773000;131218000;156258000;169837000;179810000
Valor en libros tangible;4373618;11685002;14194921;14531857;12319000;13977000;31326000;34098000;62695000;54095000;45846000;42178000;18572000;37748000;45061000
Deuda total;1881156;444680;0;0;0;0;0;0;0;5385000;4133000;3203000;3846000;3102000;14671000
Deuda neta;-9889518;-21242117;-24460703;-25366357;-23778000;-25306000;-43320000;-47919000;-84583000;-66874000;-59006000;-65727000;-50661000;-75337000;-65215000
Fondo de maniobra;4602813;11686335;11315057;13860720;10942000;12719000;30444000;33236000;61870000;52434000;45271000;46223000;26131000;42426000;50637000
Fondo de maniobra neto;-6356385;-9805782;-13145646;-11505637;-12836000;-12587000;-12876000;-14683000;-22713000;-18835000;-16855000;-21685000;-27021000;-34031000;-28202000
Capital total;11963130;18528389;20509225;22124551;21681000;24696000;42900000;47211000;77378000;84304000;89459000;96186000;103835000;118260000;136369000
Capital invertido;192456;-3158408;-3951478;-3241806;-2097000;-610000;-420000;-708000;-7205000;12045000;26320000;27256000;49328000;39821000;56483000
Capital empleado;11468123;18839748;21114725;22408206;21920000;25015000;43267000;47675000;77996000;85954000;90525000;102415000;111396000;122687000;142767000
Ventas;18118334;24087742;25191215;24799132;29200000;34083000;32429000;39775000;65212000;71168000;83319000;104251000;118712000;159334000;145292000
Otras ventas;;;;;;;;;;;;;13000;36000;1806000
Ventas totales;18118334;24087742;25191215;24799132;29200000;34083000;32429000;39775000;65212000;71168000;83319000;104251000;118725000;159370000;147098000
Coste de ventas;-3538959;-4215602;-3290679;-2665999;-2656000;-2803000;-2465000;-2038000;-5068000;-5326000;-8339000;-14473000;-22007000;-27132000;-28356000
Coste de los bienes vendidos;-3538959;-4215602;-3290679;-2665999;-2656000;-2803000;-2465000;-2038000;-5068000;-5326000;-8339000;-14473000;-22007000;-27132000;-28356000
Beneficio bruto;14579375;19872140;21900536;22133133;26544000;31280000;29964000;37737000;60144000;65842000;74980000;89778000;96718000;132238000;118742000
Gastos operativos totales;-8976018;-11524056;-17517652;-17603763;-24765000;-20841000;-19758000;-21750000;-23779000;-28880000;-35394000;-44310000;-38694000;-55958000;-51187000
Gastos en VG&A;-8976018;-11607688;-17249806;-17800874;-24983000;-21127000;-19954000;-21832000;-23854000;-28931000;-35515000;-44247000;-24413000;-39535000;-34596000
Provisión insolvencias;;;-346446;;;;;;;;;-76000;;-176000;-82000
Gastos de I+D;;;;;;;;;;;;;-2986000;-4154000;-4206000
Gastos en D&A;;;;;;;;;;;;;-11295000;-12358000;-13190000
Otros gastos operativos;;83632;78600;197111;218000;286000;196000;82000;75000;51000;121000;13000;;265000;887000
Beneficio operativo;5603357;8348084;4382884;4529370;1779000;10439000;10206000;15987000;36365000;36962000;39586000;45468000;58024000;76280000;67555000
Gastos no operativos totales;323930;705985;933034;702520;805000;732000;862000;1114000;1854000;1045000;247000;217000;-10830000;-11877000;-9854000
Gastos por intereses;-103518;-65311;-1477;-1130;;-6000;-6000;-7000;-7000;-222000;-202000;-129000;-728000;-236000;-198000
