Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
Ítems inusuales totales;-139000000;-12000000;30000000;24000000;-22000000;-3000000;55000000;127000000;-44000000;-1000000;-67000000;49000000;-4000000;-12000000;205000000
Cargos de fusión y reestructuración;-131000000;-23000000;-29000000;-52000000;-10000000;-12000000;-4000000;-4000000;-1000000;-13000000;-9000000;-6000000;-11000000;-7000000;-26000000
Det. de fondo de comercio;;;;;;;;;;;;;;-2000000;
Beneficios o pérdidas por venta de inversiones;;;-6000000;62000000;-1000000;;6000000;1000000;9000000;7000000;-5000000;;3000000;;
Beneficios o pérdidas por venta de activos;-8000000;8000000;55000000;10000000;-13000000;8000000;63000000;160000000;-5000000;1000000;-20000000;75000000;4000000;-3000000;231000000
Reducción de valor de activos;;;;;;;;-30000000;-54000000;;-33000000;-20000000;;;
Otros ítems inusuales;;3000000;10000000;4000000;2000000;1000000;-10000000;0;7000000;4000000;;;;;
EBT incluyendo ítems inusuales;310000000;442000000;490000000;512000000;542000000;655000000;726000000;890000000;858000000;937000000;929000000;1276000000;1297000000;1378000000;1649000000
Gastos por impuestos;-68000000;-109000000;-137000000;-38000000;-119000000;-165000000;-89000000;-234000000;-189000000;-216000000;-201000000;-249000000;-290000000;-299000000;-341000000
Beneficios de operaciones continuas;242000000;333000000;353000000;474000000;423000000;490000000;637000000;656000000;669000000;721000000;728000000;1027000000;1007000000;1079000000;1308000000
Beneficios de operaciones descontinuadas;-124000000;-22000000;-7000000;;;;;;;;;;;;
Beneficio neto total;118000000;311000000;346000000;474000000;423000000;490000000;637000000;656000000;669000000;721000000;728000000;1027000000;1007000000;1079000000;1308000000
Beneficio intereses minoritarios;2000000;1000000;-1000000;-1000000;;-1000000;-1000000;;;;;;;;
Beneficio neto;120000000;312000000;345000000;473000000;423000000;489000000;636000000;656000000;669000000;721000000;728000000;1027000000;1007000000;1079000000;1308000000
