Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Venta de activos;-42000000;;;;;-84000000;;-36000000;;;;;;-284000000;-106000000
Beneficios o pérdidas por venta de inversiones;29000000;30000000;32000000;29000000;28000000;40000000;-67000000;41000000;49000000;72000000;156000000;155000000;148000000;118000000;
Costes de reestructuración;-15000000;;;;;;;;;582000000;624000000;69000000;518000000;949000000;1251000000
Inversiones en acciones;-10000000;4000000;-17000000;-101000000;-54000000;18000000;-12000000;18000000;22000000;-97000000;-146000000;344000000;189000000;339000000;104000000
Retribución en acciones;;;;;53000000;38000000;55000000;39000000;48000000;55000000;66000000;70000000;91000000;91000000;91000000
Otras actividades operativas;445000000;723000000;-50000000;931000000;550000000;595000000;-204000000;-586000000;191000000;-273000000;1073000000;23000000;218000000;-199000000;-598000000
Variación activos operativos;-657000000;171000000;3000000;5000000;-246000000;123000000;-593000000;93000000;-13000000;311000000;-960000000;450000000;269000000;30000000;864000000
Var. cuentas por cobrar;-89000000;-101000000;-64000000;358000000;780000000;-383000000;-521000000;433000000;367000000;-246000000;-1519000000;1005000000;110000000;127000000;687000000
Variación inventario;-732000000;441000000;-151000000;-205000000;-240000000;123000000;-237000000;-141000000;-129000000;340000000;-742000000;-91000000;18000000;25000000;945000000
Var. cuentas por pagar;703000000;-189000000;275000000;-378000000;-786000000;383000000;165000000;-199000000;-251000000;217000000;1301000000;-464000000;141000000;-122000000;-768000000
Variación impuestos;7000000;;;;;;;;;;;;;;
Var. otros activos;-546000000;20000000;-57000000;230000000;;;;;;;;;;;
