Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;29/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Coste de ventas;-2049100000;-2346900000;-2542900000;-2493300000;-2131600000;-2917000000;-6236700000;-6584800000;-6378200000;-5858100000;-6226300000;-7045800000;-7333300000;-7093600000;-6866200000
Coste de los bienes vendidos;-2049100000;-2346900000;-2542900000;-2493300000;-2131600000;-2917000000;-6236700000;-6584800000;-6378200000;-5858100000;-6226300000;-7045800000;-7333300000;-7093600000;-6866200000
Beneficio bruto;1466600000;1569600000;1663200000;1653000000;1435900000;1968000000;4766100000;4184800000;4201200000;3795900000;4053400000;3655200000;4368800000;4533400000;4274600000
Gastos operativos totales;-1019000000;-1085900000;-1183100000;-1159000000;-1031400000;-1480400000;-2934000000;-2725700000;-2700100000;-2406700000;-2508100000;-2525600000;-2769700000;-2722500000;-2599500000
Gastos en VG&A;-978900000;-1043500000;-1135100000;-1114400000;-1031400000;-1480400000;-2934000000;-2725700000;-2478900000;-2186700000;-2290100000;-2317500000;-2562400000;-2516100000;-2599500000
Amortización de intangibles;-40100000;-42400000;-48000000;-44600000;;;;;-221200000;-220000000;-218000000;-208100000;-207300000;-206400000;
Beneficio operativo;447600000;483700000;480100000;494000000;404500000;487600000;1832100000;1459100000;1501100000;1389200000;1545300000;1129600000;1599100000;1810900000;1675100000
Gastos no operativos totales;338100000;325500000;371600000;421600000;411300000;262400000;-350200000;-298100000;-271100000;-262900000;-261500000;-251900000;-183900000;-242500000;-213800000
Gastos por intereses;-118700000;-196300000;-183800000;-145000000;-120300000;-271600000;-349300000;-306200000;-280900000;-274600000;-260300000;-250600000;-234000000;-282700000;-247900000
Ingresos por int. e inversiones;10700000;11300000;13700000;11300000;8300000;27200000;6000000;8000000;8200000;3300000;2000000;4300000;25400000;35400000;20600000
Otros ingresos y gastos no operativos;446100000;510500000;541700000;555300000;523300000;506800000;-6900000;100000;1600000;8400000;-3200000;-5600000;24700000;4800000;13500000
EBT excluyendo ítems inusuales;785700000;809200000;851700000;915600000;815800000;750000000;1481900000;1161000000;1230000000;1126300000;1283800000;877700000;1415200000;1568400000;1461300000
Ítems inusuales totales;-11500000;-217100000;-197200000;-329300000;-359700000;2304100000;-98700000;198800000;-750100000;-1770200000;-44800000;-940200000;-162700000;-65400000;-3979300000
Cargos de fusión y reestructuración;-8800000;-185600000;-47000000;-29400000;-77900000;-279600000;-111600000;-110000000;-117400000;-187100000;-37600000;-9100000;-4100000;-106800000;-112200000
Det. de fondo de comercio;;-9500000;;;;;;;-674400000;-1484300000;;-845000000;;;-3645700000
Beneficios o pérdidas por venta de inversiones;;;22300000;;;;8300000;-23800000;-16300000;-2400000;-300000;;;77900000;31700000
Beneficios o pérdidas por venta de activos;1000000;5200000;;;800000;20500000;;11700000;;2700000;6600000;6800000;2200000;57100000;20800000
Reducción de valor de activos;-7600000;-900000;-168800000;-364900000;-275000000;-526000000;;;-9500000;-71500000;-13500000;-36300000;-160800000;-93600000;-273900000
Acuerdos de seguros;;1400000;7400000;1800000;2400000;9300000;;;;;;;;;
Acuerdos legales;-200000;-400000;;;;;;;;;;-56600000;;;
Otros ítems inusuales;4100000;-27300000;-11100000;63200000;-10000000;3079900000;4600000;320900000;67500000;-27600000;;;;;
EBT incluyendo ítems inusuales;774200000;592100000;654500000;586300000;456100000;3054100000;1383200000;1359800000;479900000;-643900000;1239000000;-62500000;1252500000;1503000000;-2518000000
Gastos por impuestos;-99400000;-154500000;-84000000;-69000000;-61500000;-1454300000;204600000;-225200000;-233700000;-301800000;-230500000;-124000000;-296100000;-345300000;337800000
Beneficios de operaciones continuas;674800000;437600000;570500000;517300000;394600000;1599800000;1587800000;1134600000;246200000;-945700000;1008500000;-186500000;956400000;1157700000;-2180200000
Beneficios de operaciones descontinuadas;2300000;1500000;2000000;500000;3900000;;;;;;;;;;
Beneficio neto total;677100000;439100000;572500000;517800000;398500000;1599800000;1587800000;1134600000;246200000;-945700000;1008500000;-186500000;956400000;1157700000;-2180200000
Beneficio intereses minoritarios;-800000;3900000;-5200000;-3800000;-3300000;-5900000;-22200000;-18100000;-4500000;-3300000;-2800000;11200000;-7500000;-35300000;40600000
Beneficio neto;676300000;443000000;567300000;514000000;395200000;1593900000;1565600000;1116500000;241700000;-949000000;1005700000;-175300000;948900000;1122400000;-2139600000
Beneficio neto comunes incl. ítems extra;676300000;443000000;567300000;514000000;395200000;1593900000;1565600000;1116500000;241700000;-949000000;1005700000;-175300000;948900000;1122400000;-2139600000
Beneficio neto comunes excl. ítems extra;674000000;441500000;565300000;513500000;391300000;1593900000;1565600000;1116500000;241700000;-949000000;1005700000;-175300000;948900000;1122400000;-2139600000
EBITDAR;700000000;793400000;834900000;833100000;700100000;900200000;2688500000;2352000000;2399400000;2270300000;2389200000;1886900000;2363200000;2657200000;2459900000
EBITDA;664700000;756400000;800600000;798100000;669500000;863600000;2624400000;2285900000;2328400000;2198900000;2316000000;1814400000;2281900000;2570300000;2368500000
EBITA;487700000;526100000;528100000;533700000;434400000;569700000;2054200000;1683200000;1722300000;1609200000;1763300000;1337700000;1806400000;2017300000;1881200000
EBIT;447600000;483700000;480100000;494000000;404500000;487600000;1832100000;1459100000;1501100000;1389200000;1545300000;1129600000;1599100000;1810900000;1675100000
Beneficio neto;676300000;443000000;567300000;514000000;395200000;1593900000;1565600000;1116500000;241700000;-949000000;1005700000;-175300000;948900000;1122400000;-2139600000
D&A total;217100000;272700000;320500000;304100000;265000000;376000000;792300000;826800000;827300000;809700000;770700000;684800000;682800000;759400000;693400000
Amortización de intangibles;40100000;42400000;48000000;39700000;29900000;82100000;222100000;224100000;221200000;220000000;218000000;208100000;207300000;206400000;206100000
Depreciación y amortización;177000000;230300000;272500000;264400000;235100000;293900000;570200000;602700000;606100000;589700000;552700000;476700000;475500000;553000000;487300000
Amortización de cargos diferidos;22500000;41700000;20300000;7000000;11100000;66500000;23200000;12700000;13600000;8100000;6700000;7700000;5700000;5300000;19500000
Otros elementos no monetarios;83000000;160100000;95200000;405500000;17000000;-1094100000;-531600000;529400000;842400000;1750800000;-173500000;1168000000;361200000;201300000;3357800000
Venta de activos;1000000;27600000;;1700000;-300000;396000000;-400000;-8100000;-69200000;-1415100000;9100000;18600000;181900000;-55000000;262600000
Beneficios o pérdidas por venta de inversiones;;;-4800000;;;-2965000000;;;;;;;;;
Costes de reestructuración;7600000;17600000;168800000;382700000;324400000;12400000;20500000;30700000;715600000;3080900000;15400000;845000000;;106800000;3663600000
Inversiones en acciones;5200000;-500000;-6100000;17100000;0;0;;;;;;-4700000;-12000000;-2700000;-13400000
Retribución en acciones;24700000;14000000;19500000;23500000;18400000;29900000;58300000;42600000;8500000;24200000;32100000;33600000;44900000;43100000;35000000
Beneficio fiscal retrib. acciones;-2000000;-4900000;-7700000;;;;;;;;;;;;
Operaciones discontinuadas;-2300000;-1500000;-2000000;-500000;-3900000;;;;;;;;;;
Otras actividades operativas;48800000;107800000;-72500000;-19000000;-321600000;1432600000;-610000000;464200000;187500000;60800000;-230100000;275500000;146400000;109100000;-590000000
Variación activos operativos;-130800000;66200000;164900000;57300000;27600000;184600000;16800000;-154100000;-27700000;76100000;-36100000;-183200000;80400000;-178100000;-146700000
Var. cuentas por cobrar;-29000000;105500000;70400000;22300000;60800000;65600000;-7200000;-38400000;38500000;160800000;-137600000;-108500000;-700000;39600000;48300000
Variación inventario;-17100000;54100000;4200000;-16500000;10900000;-23200000;21300000;-10600000;-17700000;-46200000;-143900000;-64600000;21700000;55100000;65200000
Var. cuentas por pagar;-2600000;-69900000;185100000;75300000;-111000000;144900000;31000000;27600000;-53000000;-50100000;285500000;-16100000;50200000;-234400000;-285400000
Var. otros activos;-82100000;-23500000;-94800000;-23800000;66900000;-2700000;-28300000;-132700000;4500000;11600000;-40100000;6000000;9200000;-38400000;25200000
Flujo operativo;868100000;983700000;1168200000;1287900000;715900000;1126900000;1866300000;2331300000;1897300000;1695700000;1573500000;1502000000;2079000000;1910300000;1784400000
Gastos de capital (Capex);-235400000;-222300000;-293900000;-259500000;-275000000;-341800000;-599600000;-651700000;-593800000;-574800000;-522600000;-661400000;-671500000;-674100000;-716600000
Venta de activos tangibles;4600000;15700000;53600000;8800000;11800000;174500000;60500000;32500000;115900000;158800000;26000000;32200000;10900000;24500000;15800000
Adquisiciones;-41300000;-2258300000;;;-91200000;-11961000000;;;;;;;-63700000;-8600000;-22300000
Otras actividades de inversión;-66000000;-170200000;-36700000;11300000;19700000;-158300000;900000;-49900000;44600000;2400000;-13300000;4100000;-117400000;10200000;-99000000
Inv. en valores negociables;-100600000;-66400000;-40500000;-5600000;-1600000;-166800000;;;;;;;;;
Préstamos netos (inversión);12500000;13600000;;;;;;;;;;;;;
Otras act. de inversión;22100000;-117400000;3800000;16900000;21300000;8500000;900000;-49900000;44600000;2400000;-13300000;4100000;-117400000;10200000;-99000000
Flujo de inversión;-338100000;-2635100000;-277000000;-239400000;-334700000;-12286600000;-538200000;-669100000;-433300000;-413600000;-509900000;-625100000;-841700000;-648000000;-822100000
Flujo neto de deuda;-20500000;1446000000;-801300000;-521000000;-50800000;9235600000;-1089800000;-694100000;-1587900000;-917400000;-1005200000;-505800000;-397800000;-20100000;-12800000
Deuda total emitida;8900000;2219200000;530900000;67300000;707200000;9460600000;1910300000;;3000000;1500000;1400000;7000000;7000000;863700000;
Deuda total pagada;-29400000;-773200000;-1332200000;-588300000;-758000000;-225000000;-3000100000;-694100000;-1590900000;-918900000;-1006600000;-512800000;-404800000;-883800000;-12800000
Flujo neto de acciones;-309500000;34100000;88800000;44400000;-115500000;2536800000;4000000;16000000;1600000;4100000;4600000;-48400000;-197900000;-643400000;-647900000
Emisión de acciones comunes;11600000;34100000;88800000;44400000;34600000;2536800000;4000000;16000000;1600000;4100000;4600000;3100000;7900000;;
Recompra de acciones comunes;-321100000;;;;-150100000;;;;;;;-51500000;-205800000;-643400000;-647900000
Dividendos totales;-228100000;-232200000;-234600000;-273600000;-303400000;-352900000;-353400000;-354200000;-424400000;-125300000;-147800000;-329300000;-354700000;-369200000;-376300000
Dividendos comunes;-228100000;-232200000;-234600000;-273600000;-303400000;-352900000;-353400000;-354200000;-424400000;-125300000;-147800000;-329300000;-354700000;-369200000;-376300000
Otras act. de financiación;-107000000;-76500000;-112100000;-67100000;-61800000;-101600000;-57200000;23400000;3700000;-31800000;-23800000;-6000000;-31000000;-105700000;-19800000
Flujo de financiación;-665100000;1171400000;-1059200000;-817300000;-531500000;11317900000;-1496400000;-1008900000;-2007000000;-1070400000;-1172200000;-889500000;-981400000;-1138400000;-1056800000
Ajustes por tipo de cambio;-3600000;25100000;-13700000;-48900000;-43400000;-28200000;26000000;-14000000;8500000;35000000;-24100000;-24800000;13000000;-23500000;21700000
Variación neta de efectivo;-138700000;-454900000;-181700000;182300000;-193700000;130000000;-142300000;639300000;-534500000;246700000;-132700000;-37400000;268900000;100400000;-72800000
Efectivo y equiv. - Fin período;1078900000;624000000;442300000;624600000;430900000;560900000;418600000;1057900000;523400000;770100000;637400000;600000000;868900000;969300000;896500000
Var. capital circulante;138300000;-37900000;-250000000;-31300000;149800000;-503400000;-49400000;-81400000;-64900000;-86300000;293100000;-42700000;-258700000;67100000;218600000
FCF apalancado;96162500;323625000;501587500;324525000;49625000;771400000;1250350000;1032362500;1083125000;1050125000;796925000;656775000;1173787500;1021725000;704700000
FCF no apalancado;147850000;404612500;596162500;408150000;113712500;874650000;1445462500;1211037500;1245087500;1213650000;952912500;805700000;1314337500;1193112500;854537500
FCF simple;632700000;761400000;874300000;1028400000;440900000;785100000;1266700000;1679600000;1303500000;1120900000;1050900000;840600000;1407500000;1236200000;1067800000
Ingresos propios;868100000;983700000;1168200000;1287900000;715900000;1126900000;1866300000;2331300000;1897300000;1695700000;1573500000;1502000000;2079000000;1910300000;1784400000
Nº Acciones básicas;184900000;180800000;183000000;184900000;185300000;212000000;215400000;216000000;216600000;216800000;217100000;216900000;216000000;208800000;199100000
Nº Acciones diluidas;186400000;181800000;184200000;186100000;186400000;213400000;216500000;216600000;216900000;216800000;217600000;216900000;217300000;209900000;199100000
