Periodo fiscal;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Flujo operativo;117243000;106521000;118781000;163327000;188171000;236189000;293680000;273060000;299996000;366155000;411877000;359641000
Adquisiciones;;;;;;-1319905000;-1858937000;-741353000;-15829000;-46653000;;-108448000
Otras actividades de inversión;-58617000;-66830000;-41653000;-138831000;-125703000;-285029000;-390188000;-497846000;-332660000;-310420000;-313183000;-549553000
Propiedades inmobiliarias;-51866000;-50450000;-41653000;-138831000;-125703000;-301279000;-322162000;-490872000;-318233000;-322167000;-300134000;-550978000
Inv. en valores negociables;;-1341000;;;;16250000;-26075000;-6974000;-14427000;16363000;-13049000;2918000
Otras act. de inversión;-6751000;-15039000;;;;;-41951000;;;-4616000;;-1493000
Flujo de inversión;-58617000;-66830000;-41653000;-138831000;-125703000;-1604934000;-2249125000;-1239199000;-348489000;-357073000;-313183000;-658001000
Flujo neto de deuda;-10416000;35336000;-35822000;34274000;-409205000;323108000;928609000;208751000;274140000;-173298000;149075000;648249000
Deuda total emitida;23377000;509924000;530078000;163671000;1126097000;450000000;1736178000;860985000;999354000;716326000;1327224000;1277477000
Deuda total pagada;-33793000;-474588000;-565900000;-129397000;-1535302000;-126892000;-807569000;-652234000;-725214000;-889624000;-1178149000;-629228000
Flujo neto de acciones;0;0;0;0;588437000;1209768000;1578454000;465620000;-455000;415234000;2251000;1263000
Emisión de acciones comunes;;;;;601117000;1216831000;1585407000;482506000;7853000;418609000;5897000;4441000
Recompra de acciones comunes;;;;;-12680000;-7063000;-6953000;-16886000;-8308000;-3375000;-3646000;-3178000
Dividendos totales;-48517000;-48666000;-48666000;-48666000;-78474000;-135443000;-167086000;-227522000;-238709000;-242221000;-252119000;-261375000
Dividendos comunes;-20214000;-20214000;-20214000;-20214000;-76523000;-135443000;-167086000;-227522000;-238709000;-242221000;-252119000;-261375000
Dividendos preferentes;-28303000;-28452000;-28452000;-28452000;-1951000;;;;;;;
