Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Capital total;2942578000;2751517000;3202303000;2982100000;3070293000;3170840000;4680083000;4706596000;5010484000;5957713000;5743013000;5873385000;6418958000;6050523000;5947192000
Capital invertido;2358490000;2414478000;2770319000;2678864000;2731927000;2627051000;4346525000;4334707000;4687826000;5561727000;5276211000;5532848000;6179227000;5744363000;5542368000
Capital empleado;3653096000;3458387000;3573887000;3290018000;3207654000;3463567000;5697616000;5695535000;5746765000;6612532000;6191603000;6346571000;6925801000;6448554000;6185213000
Ventas;1492528000;1551009000;1684771000;1827132000;1799490000;1868027000;2146303000;2448383000;2595362000;2537156000;2809563000;2791041000;2974489000;3047324000;1992713000
Ventas totales;1492528000;1551009000;1684771000;1827132000;1799490000;1868027000;2146303000;2448383000;2595362000;2537156000;2809563000;2791041000;2974489000;3047324000;1992713000
Coste de ventas;-783750000;-802784000;-845826000;-879804000;-845587000;-863327000;-974501000;-1145567000;-1186357000;-1212282000;-1259961000;-1259954000;-1327458000;-1335445000;-869259000
Coste de los bienes vendidos;-783750000;-802784000;-845826000;-879804000;-845587000;-863327000;-974501000;-1145567000;-1186357000;-1212282000;-1259961000;-1259954000;-1327458000;-1335445000;-869259000
Beneficio bruto;708778000;748225000;838945000;947328000;953903000;1004700000;1171802000;1302816000;1409005000;1324874000;1549602000;1531087000;1647031000;1711879000;1123454000
Gastos operativos totales;-463221000;-510767000;-567232000;-647115000;-625677000;-628332000;-781158000;-850293000;-911708000;-901479000;-982451000;-1015217000;-1145405000;-1279448000;-832004000
Gastos en VG&A;-414509000;-454489000;-502187000;-586075000;-573558000;-569753000;-696388000;-744085000;-797851000;-781732000;-851610000;-861398000;-991054000;-1117776000;-687223000
Gastos de I+D;-48712000;-56278000;-65045000;-61040000;-52119000;-58579000;-84770000;-106208000;-113857000;-119747000;-130841000;-153819000;-154351000;-161672000;-144781000
Beneficio operativo;245557000;237458000;271713000;300213000;328226000;376368000;390644000;452523000;497297000;423395000;567151000;515870000;501626000;432431000;291450000
Gastos no operativos totales;-69057000;-67994000;-56281000;-64752000;-60791000;-54467000;-81775000;-102076000;-78529000;-65336000;-55641000;-53352000;-72301000;-75535000;-93820000
Gastos por intereses;-70317000;-69565000;-56905000;-65458000;-61323000;-54941000;-82546000;-103020000;-80270000;-66494000;-56969000;-54264000;-85082000;-83544000;-100223000
Ingresos por int. e inversiones;1260000;1571000;624000;706000;532000;474000;771000;944000;1741000;1158000;1328000;912000;12781000;8009000;6403000
EBT excluyendo ítems inusuales;176500000;169464000;215432000;235461000;267435000;321901000;308869000;350447000;418768000;358059000;511510000;462518000;429325000;356896000;197630000
Ítems inusuales totales;-31400000;-334833000;-39702000;-15351000;-22789000;-76176000;-23958000;-130819000;-78865000;-327000;47958000;-16599000;4687000;-281418000;-173077000
Cargos de fusión y reestructuración;-13205000;-3037000;-27611000;-22769000;-17319000;-24371000;-14790000;-60120000;-15239000;-17103000;-21738000;-20299000;-27004000;-31391000;-48514000
Det. de fondo de comercio;;-332128000;;;;;;;;;;;;-240000000;
Beneficios o pérdidas por venta de activos;-582000;332000;;;408000;4367000;;1388000;6077000;;91157000;6504000;4448000;;
Reducción de valor de activos;;;-10841000;;;-43356000;;-19110000;-6966000;-21388000;;;;;-108117000
Otros ítems inusuales;-17613000;;-1250000;7418000;-5878000;-12816000;-9168000;-52977000;-62737000;38164000;-21461000;-2804000;27243000;-10027000;-16446000
EBT incluyendo ítems inusuales;145100000;-165369000;175730000;220110000;244646000;245725000;284911000;219628000;339903000;357732000;559468000;445919000;434012000;75478000;24553000
Gastos por impuestos;-25778000;-16413000;-23547000;-28650000;-7838000;-8074000;-129648000;-23196000;122078000;-21931000;-74349000;-83003000;-76440000;-5316000;33977000
Beneficios de operaciones continuas;119322000;-181782000;152183000;191460000;236808000;237651000;155263000;196432000;461981000;335801000;485119000;362916000;357572000;70162000;58530000
Beneficios de operaciones descontinuadas;205028000;-7320000;-435000;-2709000;8905000;190000;-2733000;4370000;-515000;-477000;255000;223000;-1244000;-487000;-964170000
Beneficio neto total;324350000;-189102000;151748000;188751000;245713000;237841000;152530000;200802000;461466000;335324000;485374000;363139000;356328000;69675000;-905640000
Beneficio intereses minoritarios;-1021000;-955000;-867000;-1072000;-850000;-464000;;;;;;;;;
Beneficio neto;323329000;-190057000;150881000;187679000;244863000;237377000;152530000;200802000;461466000;335324000;485374000;363139000;356328000;69675000;-905640000
Beneficio neto comunes incl. ítems extra;323329000;-190057000;150881000;187679000;244863000;237377000;152530000;200802000;461466000;335324000;485374000;363139000;356328000;69675000;-905640000
Beneficio neto comunes excl. ítems extra;118301000;-182737000;151316000;190388000;235958000;237187000;155263000;196432000;461981000;335801000;485119000;362916000;357572000;70162000;58530000
EBITDAR;354827000;341926000;391089000;435846000;461719000;528274000;576907000;695103000;741559000;681347000;837113000;777260000;774844000;736332000;495388000
EBITDA;328527000;317926000;364689000;406446000;427119000;494274000;545907000;662503000;711359000;650647000;804513000;746460000;743744000;707032000;469188000
EBITA;288191000;281722000;322321000;361139000;390606000;439859000;489410000;602009000;647271000;582080000;732755000;679958000;675600000;630100000;413106000
