Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;29/05/2011;27/05/2012;26/05/2013;25/05/2014;31/05/2015;29/05/2016;28/05/2017;27/05/2018;26/05/2019;31/05/2020;30/05/2021;29/05/2022;28/05/2023;26/05/2024;25/05/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Fondo de maniobra;242800000;-151800000;-995000000;-1030000000;-1204500000;-1077500000;-1269400000;-3218200000;-2900600000;-2370200000;-2511300000;-2930100000;-2359300000;-2452200000;-2581600000
Fondo de maniobra neto;965800000;644700000;306600000;465000000;77500000;-468000000;-196700000;-467300000;-485400000;-1335500000;-1440200000;-1157000000;-1219300000;-1142100000;-624800000
Capital total;13519500000;15160100000;16065100000;16775300000;15363100000;14583600000;15078100000;23087200000;22409400000;22812600000;23384500000;22763400000;22764800000;22963600000;24507900000
Capital invertido;12899900000;14688900000;15323700000;15908000000;15028900000;13819900000;14312000000;22688200000;21959400000;21134800000;21519300000;21944200000;22062100000;22545600000;24144000000
Capital empleado;15015300000;17253600000;17364100000;17722200000;16941900000;16697600000;16481800000;23282100000;23024100000;23315200000;23576100000;23070200000;23916000000;24436800000;25213800000
Ventas;14880200000;16657900000;17774100000;17909600000;17630300000;16563100000;15619800000;15740400000;16865200000;17626600000;18127000000;18992800000;20094200000;19857200000;19486600000
Ventas totales;14880200000;16657900000;17774100000;17909600000;17630300000;16563100000;15619800000;15740400000;16865200000;17626600000;18127000000;18992800000;20094200000;19857200000;19486600000
Coste de ventas;-8926700000;-10613200000;-11333200000;-11539800000;-11608300000;-10597700000;-9966600000;-10279500000;-11097200000;-11469400000;-11676400000;-12587300000;-13541200000;-12905500000;-12743900000
Coste de los bienes vendidos;-8926700000;-10613200000;-11333200000;-11539800000;-11608300000;-10597700000;-9966600000;-10279500000;-11097200000;-11469400000;-11676400000;-12587300000;-13541200000;-12905500000;-12743900000
Beneficio bruto;5953500000;6044700000;6440900000;6369800000;6022000000;5965400000;5653200000;5460900000;5768000000;6157200000;6450600000;6405500000;6553000000;6951700000;6742700000
