Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Flujo de inversión;-165000000;-310100000;-437500000;-443400000;109000000;106200000;39000000;-875500000;-324500000;-36300000;-1098100000;-41500000;128200000;-177500000;230300000
Flujo neto de deuda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flujo neto de acciones;-429100000;-48600000;104100000;-330300000;-914300000;-550600000;-257000000;-1015600000;-622500000;-1198000000;-1138500000;-849800000;-254400000;-337200000;-620900000
Emisión de acciones comunes;50600000;86600000;118200000;85200000;73500000;126300000;201100000;74800000;83300000;3900000;;;;;
Recompra de acciones comunes;-479700000;-135200000;-14100000;-415500000;-987800000;-676900000;-458100000;-1090400000;-705800000;-1201900000;-1138500000;-849800000;-254400000;-337200000;-620900000
Dividendos totales;-317900000;-603400000;-396700000;-462100000;-1059000000;-540800000;-563100000;-694300000;-733900000;-845800000;-1701900000;-1107400000;-1121700000;-1135600000;-1143000000
Dividendos comunes;-317900000;-347722000;-396700000;-462100000;-534500000;-540800000;-563100000;-694300000;-733900000;-845800000;-1002100000;-1107400000;-1121700000;-1135600000;-1143000000
Dividendos especiales;;-255678000;;;-524500000;;;;;;-699800000;;;;
Otras act. de financiación;48400000;-215178000;15800000;;-524500000;915000000;1281600000;470400000;523700000;557500000;-848200000;-119700000;297500000;536200000;486500000
Flujo de financiación;-698600000;-611500000;-276800000;-792400000;-1973300000;-176400000;461500000;-1239500000;-832700000;-1486300000;-2988800000;-2076900000;-1078600000;-936600000;-1277400000
Ajustes por tipo de cambio;;;;;;-2100000;5300000;-15400000;-2500000;1900000;2600000;9500000;400000;-2400000;-1900000
Variación neta de efectivo;84800000;-18800000;518900000;108100000;-333800000;98200000;735300000;-510500000;363000000;398200000;-632300000;250500000;269100000;569100000;704400000
Efectivo y equiv. - Fin período;897900000;879100000;1398000000;1506100000;1172300000;1204900000;1902700000;1425200000;1781800000;2151700000;1523100000;1755600000;2066600000;2649800000;3378200000
Var. capital circulante;-6200000;48400000;-11900000;70300000;-151800000;-103900000;-53400000;-160700000;-28900000;-47000000;-174200000;-54400000;-114200000;80100000;31400000
FCF apalancado;861812500;912387500;1134675000;1230412500;1462612500;1375350000;1449750000;1815175000;1713575000;1984262500;2753187500;1956275000;1743375000;1666837500;1994375000
FCF no apalancado;863750000;912387500;1134675000;1230412500;1462612500;1375350000;1449750000;1815175000;1713575000;1984262500;2753187500;1956275000;1743375000;1666837500;1994375000
FCF simple;866100000;825900000;1127400000;1217700000;1379200000;22200000;43400000;1451400000;1318100000;1704300000;3212900000;2121800000;911200000;1262200000;1479200000
Ingresos propios;948400000;902800000;1233200000;1343900000;1530500000;170500000;229500000;1619900000;1522700000;1918900000;3452000000;2359400000;1219100000;1685600000;1753400000
Nº Acciones básicas;255600000;253400000;258300000;25.960.000.000.000.000;254600000;245500000;241200000;242200000;235400000;228800000;226600000;226000000;224100000;222800000;220000000
Nº Acciones diluidas;263300000;261000000;266300000;26.739.999.999.999.900;26.089.999.999.999.900;250300000;245100000;246900000;238600000;231200000;228800000;227100000;224800000;223300000;220300000
