Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/03/2011;31/03/2012;31/03/2013;31/03/2014;31/03/2015;31/03/2016;31/03/2017;31/03/2018;31/03/2019;31/03/2020;31/03/2021;31/03/2022;31/03/2023;31/03/2024;31/03/2025
Divisa;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP
Dividendos totales;-5723000;-7371000;-1645000;-4898000;-3266000;-3750000;-3592000;-6810000;-5517000;-5888000;-5290000;-6512000;-9095000;-10113000;-10049000
Dividendos comunes;-5723000;-7371000;-1645000;-4898000;-3266000;-3750000;-3592000;-4824202;-4531618;-4530818;-4483626;-5643146;-7346565;-6187053;-10049000
Dividendos especiales;;;;;;;;-1985798;-985382;-1357182;-806374;-868854;-1748435;-3925947;
Otras act. de financiación;925000;1318000;1089000;677000;17000;-143000;;-1985798;-945382;-1237182;-806374;-885854;-1803435;-3958947;-15000
Flujo de financiación;-4798000;-6587000;-1242000;-4288000;-3552000;-4687000;-3785000;-17177000;-6130000;-6831000;-7658000;-11531000;-13037000;-10434000;-10582000
Ajustes por tipo de cambio;;;;;137000;282000;136000;146000;205000;346000;-147000;141000;151000;8000;-11000
Otros ajustes;;3997000;;;;;;;;;;;;;
Variación neta de efectivo;2867000;-156000;4453000;-17522000;507000;9710000;-2600000;-6622000;468000;1328000;-7447000;-3502000;6603000;-727000;3843000
Efectivo y equiv. - Fin período;24728000;24572000;29025000;11503000;12010000;21720000;19120000;12498000;12966000;14294000;6847000;3345000;9948000;9221000;11798000
Var. capital circulante;1130000;-1252000;-624000;-119000;-183000;629000;-4093000;3103000;61000;783000;260000;1486000;2989000;-932000;1946000
FCF apalancado;7812250;6811125;5487500;5504074;6216299;5016185;9574000;1484125;5901733;5358965;5117373;8171829;8887404;12196872;4528722
FCF no apalancado;7812250;6811125;5487500;5504074;6216299;5016185;9574000;1490375;5915483;5395215;5141123;8186204;8921779;12247497;4629972
FCF simple;8156000;2341000;5546000;5142000;6207000;5480000;6208000;2510000;6954000;6182000;6568000;11280000;11991000;13026000;5228000
Ingresos propios;8241000;2393000;5609000;5167000;6335000;5509000;7107000;2746000;7026000;6425000;6798000;11355000;12263000;13055000;7346000
Nº Acciones básicas;220965275;220100209;218867407;217778666;217501040;217176877;217401660;202613441;196655224;196679874;194461787;191068307;190483365;191509539;193200901
Nº Acciones diluidas;221271622;220340988;219141237;218672566;218393133;217888857;217992696;206469365;198117778;197070030;196166876;197299101;195313551;193684405;196611783
