Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;30/06/2011;30/06/2012;30/06/2013;30/06/2014;30/06/2015;30/06/2016;30/06/2017;30/06/2018;30/06/2019;30/06/2020;30/06/2021;30/06/2022;30/06/2023;30/06/2024;30/06/2025
Divisa;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD
Capital invertido;7697400000;8416500000;8867300000;8923000000;9361000000;9184700000;8380300000;8218500000;8071100000;8157500000;8068200000;7808000000;9789000000;9621000000;9595000000
Capital empleado;8517300000;9252800000;9737400000;10054000000;10432000000;10129700000;9101700000;8933500000;8752600000;8299600000;9047400000;8708000000;10369000000;9870000000;9856000000
Ventas;3196700000;3504000000;3724100000;3812000000;3732000000;3457800000;3142500000;3112700000;2905200000;3061600000;3005900000;3048000000;3511000000;3841000000;3934000000
Otras ventas;;;;;;100000;;;2400000;;21600000;27000000;;3000000;55000000
Ventas totales;3196700000;3504000000;3724100000;3812000000;3732000000;3457900000;3142500000;3112700000;2907600000;3061600000;3027500000;3075000000;3511000000;3844000000;3989000000
Coste de ventas;-2430500000;-2423000000;-2442000000;-2425000000;-2206000000;-1936600000;-1610300000;-1551300000;-1489900000;-1554800000;-1511000000;-1593000000;-2059000000;-2200000000;-2285000000
Coste de los bienes vendidos;-2430500000;-2423000000;-2442000000;-2425000000;-2206000000;-1936600000;-1610300000;-1551300000;-1489900000;-1554800000;-1511000000;-1593000000;-2059000000;-2200000000;-2285000000
Beneficio bruto;766200000;1081000000;1282100000;1387000000;1526000000;1521300000;1532200000;1561400000;1417700000;1506800000;1516500000;1482000000;1452000000;1644000000;1704000000
Gastos operativos totales;-409600000;-495700000;-544800000;-553000000;-561000000;-640700000;-607500000;-596100000;-542500000;-579000000;-588500000;-607000000;-722000000;-722000000;-823000000
Gastos en VG&A;-19300000;-18900000;-36200000;;;;;;;;;;;;
Gastos en D&A;-457200000;-463700000;-496300000;-499000000;-519000000;-561300000;-567300000;-525500000;-542600000;-558600000;-579100000;-592000000;-666000000;-707000000;-732000000
Otros gastos operativos;66900000;-13100000;-12300000;-54000000;-42000000;-79400000;-40200000;-70600000;100000;-20400000;-9400000;-15000000;-56000000;-15000000;-91000000
Beneficio operativo;356600000;585300000;737300000;834000000;965000000;880600000;924700000;965300000;875200000;927800000;928000000;875000000;730000000;922000000;881000000
Gastos no operativos totales;-137900000;-41700000;-98000000;-105000000;-121000000;-136400000;-178700000;-164200000;-147000000;-40200000;-145000000;-125000000;-229000000;-332000000;-344000000
Gastos por intereses;-141800000;-43200000;-101200000;-121000000;-145000000;-151700000;-178300000;-160400000;-154700000;-157300000;-155400000;-134000000;-226000000;-345000000;-353000000
Ingresos por int. e inversiones;3300000;2500000;2300000;10000000;9000000;2300000;2700000;3300000;2900000;2500000;4100000;2000000;3000000;9000000;11000000
Otros ingresos y gastos no operativos;600000;-1000000;900000;6000000;15000000;13000000;-3100000;-7100000;4800000;114600000;6300000;7000000;-6000000;4000000;-2000000
EBT excluyendo ítems inusuales;218700000;543600000;639300000;729000000;844000000;744200000;746000000;801100000;728200000;887600000;783000000;750000000;501000000;590000000;537000000
Ítems inusuales totales;-134900000;10700000;-57000000;-376000000;-9000000;-551300000;-800200000;200000;-46300000;-21700000;-17000000;-14000000;-18000000;-6000000;-81000000
Cargos de fusión y reestructuración;-64900000;-14900000;-95700000;-259000000;-36000000;-23700000;-164800000;3900000;-21400000;-16000000;-13900000;-12000000;-5000000;-5000000;-22000000
Beneficios o pérdidas por venta de inversiones;;600000;;;;-225900000;;;;;;;;;
Beneficios o pérdidas por venta de activos;-2100000;16200000;11800000;-8000000;46000000;;-6000000;;;;;;;;
Reducción de valor de activos;-2200000;;;-109000000;-19000000;-301700000;-629400000;-70000000;-24900000;-5700000;-3100000;-2000000;-13000000;-1000000;-59000000
Acuerdos legales;;;26900000;;;;;;;;;;;;
Otros ítems inusuales;-65700000;8800000;;;;;;66300000;;;;;;;
EBT incluyendo ítems inusuales;83800000;554300000;582300000;353000000;835000000;192900000;-54200000;801300000;681900000;865900000;766000000;736000000;483000000;584000000;456000000
Gastos por impuestos;277100000;-113400000;-135400000;-100000000;-231000000;-120500000;17000000;-241200000;-208600000;-260800000;-159300000;-223000000;-159000000;-178000000;-153000000
Beneficios de operaciones continuas;360900000;440900000;446900000;253000000;604000000;72400000;-37200000;560100000;473300000;605100000;606700000;513000000;324000000;406000000;303000000
